date,开盘,收盘,最高,最低,Close_Lag1,Close_Lag2
2017-05-12,8.68,8.9,8.9,8.64,8.7,8.67
2017-05-15,8.89,8.86,8.95,8.81,8.9,8.7
2017-05-16,8.84,8.84,8.85,8.73,8.86,8.9
2017-05-17,8.81,8.77,8.81,8.75,8.84,8.86
2017-05-18,8.72,8.73,8.77,8.71,8.77,8.84
2017-05-19,8.74,8.69,8.76,8.68,8.73,8.77
2017-05-22,8.68,8.68,8.73,8.61,8.69,8.73
2017-05-23,8.67,8.79,8.84,8.64,8.68,8.69
2017-05-24,8.78,8.81,8.83,8.68,8.79,8.68
2017-05-25,8.79,9.1,9.14,8.78,8.81,8.79
2017-05-26,9.08,9.1,9.13,9.04,9.1,8.81
2017-05-31,9.1,9.2,9.23,9.06,9.1,9.1
2017-06-01,9.2,9.19,9.23,9.12,9.2,9.1
2017-06-02,9.18,9.17,9.29,9.14,9.19,9.2
2017-06-05,9.13,9.03,9.17,8.99,9.17,9.19
2017-06-06,9.01,9.04,9.06,8.99,9.03,9.17
2017-06-07,9.02,9.13,9.15,9.01,9.04,9.03
2017-06-08,9.11,9.13,9.15,9.08,9.13,9.04
2017-06-09,9.15,9.15,9.22,9.12,9.13,9.13
2017-06-12,9.15,9.11,9.19,9.1,9.15,9.13
2017-06-13,9.11,9.12,9.14,9.05,9.11,9.15
2017-06-14,9.12,9.08,9.13,9.04,9.12,9.11
2017-06-15,9.08,9.04,9.08,9.03,9.08,9.12
2017-06-16,9.04,9.02,9.08,9.01,9.04,9.08
2017-06-19,9.03,9.13,9.15,9.02,9.02,9.04
2017-06-20,9.12,9.12,9.16,9.09,9.13,9.02
2017-06-21,9.17,9.15,9.18,9.11,9.12,9.13
2017-06-22,9.15,9.25,9.4,9.14,9.15,9.12
2017-06-23,9.23,9.25,9.27,9.16,9.25,9.15
2017-06-26,9.26,9.3,9.4,9.26,9.25,9.25
2017-06-27,9.3,9.36,9.39,9.27,9.3,9.25
2017-06-28,9.35,9.43,9.49,9.33,9.36,9.3
2017-06-29,9.43,9.43,9.45,9.37,9.43,9.36
2017-06-30,9.4,9.39,9.43,9.31,9.43,9.43
2017-07-03,9.4,9.4,9.43,9.34,9.39,9.43
2017-07-04,9.4,9.34,9.41,9.3,9.4,9.39
2017-07-05,9.29,9.37,9.38,9.27,9.34,9.4
2017-07-06,9.36,9.4,9.41,9.31,9.37,9.34
2017-07-07,9.37,9.47,9.48,9.34,9.4,9.37
2017-07-10,9.45,9.59,9.66,9.44,9.47,9.4
2017-07-11,9.61,10.25,10.46,9.61,9.59,9.47
2017-07-12,10.27,10.34,10.58,10.2,10.25,9.59
2017-07-13,10.3,10.9,10.9,10.24,10.34,10.25
2017-07-14,10.81,10.9,10.94,10.66,10.9,10.34
2017-07-17,10.95,10.81,11.33,10.72,10.9,10.9
2017-07-18,10.75,11.05,11.14,10.62,10.81,10.9
2017-07-19,10.99,11.09,11.19,10.88,11.05,10.81
2017-07-20,11.08,10.97,11.22,10.91,11.09,11.05
2017-07-21,10.83,10.89,10.95,10.69,10.97,11.09
2017-07-24,10.82,10.95,11.06,10.73,10.89,10.97
2017-07-25,10.98,11.0,11.27,10.95,10.95,10.89
2017-07-26,10.92,10.74,11.18,10.66,11.0,10.95
2017-07-27,10.72,10.59,10.77,10.53,10.74,11.0
2017-07-28,10.61,10.74,10.81,10.58,10.59,10.74
2017-07-31,10.8,10.67,10.82,10.45,10.74,10.59
2017-08-01,10.64,11.04,11.08,10.6,10.67,10.74
2017-08-02,11.05,11.15,11.34,10.96,11.04,10.67
2017-08-03,11.14,11.01,11.22,10.97,11.15,11.04
2017-08-04,11.0,11.17,11.29,10.93,11.01,11.15
2017-08-07,11.06,11.0,11.17,10.9,11.17,11.01
2017-08-08,11.0,11.05,11.11,10.91,11.0,11.17
