date,开盘,收盘,最高,最低,成交额,振幅,MA_10,MA_20,MA_50,Close_Lag1,Close_Lag2
2017-05-12,8.68,8.9,8.9,8.64,809131904.0,2.99,8.769,8.880500000000001,9.1212,8.7,8.67
2017-05-15,8.89,8.86,8.95,8.81,476417664.0,1.57,8.756,8.869499999999999,9.108600000000001,8.9,8.7
2017-05-16,8.84,8.84,8.85,8.73,461069296.0,1.35,8.746,8.8565,9.0968,8.86,8.9
2017-05-17,8.81,8.77,8.81,8.75,365987536.0,0.68,8.732000000000001,8.8425,9.0842,8.84,8.86
2017-05-18,8.72,8.73,8.77,8.71,198765579.0,0.68,8.731,8.833499999999999,9.0698,8.77,8.84
2017-05-19,8.74,8.69,8.76,8.68,256396867.0,0.92,8.737,8.822,9.054599999999999,8.73,8.77
2017-05-22,8.68,8.68,8.73,8.61,588546720.0,1.38,8.748000000000001,8.807500000000001,9.0398,8.69,8.73
2017-05-23,8.67,8.79,8.84,8.64,702123776.0,2.3,8.763000000000002,8.8005,9.028,8.68,8.69
2017-05-24,8.78,8.81,8.83,8.68,466560640.0,1.71,8.777000000000001,8.791,9.0162,8.79,8.68
2017-05-25,8.79,9.1,9.14,8.78,1462763024.0,4.09,8.817,8.796499999999998,9.0094,8.81,8.79
2017-05-26,9.08,9.1,9.13,9.04,813387168.0,0.99,8.837,8.803,9.0026,9.1,8.81
2017-05-31,9.1,9.2,9.23,9.06,948741888.0,1.87,8.870999999999999,8.813500000000001,8.997,9.1,9.1
2017-06-01,9.2,9.19,9.23,9.12,519544672.0,1.2,8.906,8.825999999999999,8.9904,9.2,9.1
2017-06-02,9.18,9.17,9.29,9.14,710119504.0,1.63,8.946,8.838999999999999,8.9876,9.19,9.2
2017-06-05,9.13,9.03,9.17,8.99,573460400.0,1.96,8.975999999999999,8.8535,8.9832,9.17,9.19
2017-06-06,9.01,9.04,9.06,8.99,320520912.0,0.78,9.011,8.874,8.979199999999999,9.03,9.17
2017-06-07,9.02,9.13,9.15,9.01,587357664.0,1.55,9.056000000000001,8.902,8.9786,9.04,9.03
2017-06-08,9.11,9.13,9.15,9.08,348860768.0,0.77,9.09,8.9265,8.9772,9.13,9.04
2017-06-09,9.15,9.15,9.22,9.12,628281696.0,1.1,9.124,8.9505,8.9764,9.13,9.13
2017-06-12,9.15,9.11,9.19,9.1,461493696.0,0.98,9.125,8.971,8.9758,9.15,9.13
2017-06-13,9.11,9.12,9.14,9.05,407876688.0,0.99,9.126999999999999,8.982,8.9758,9.11,9.15
2017-06-14,9.12,9.08,9.13,9.04,340596128.0,0.99,9.115,8.993,8.9752,9.12,9.11
2017-06-15,9.08,9.04,9.08,9.03,305610496.0,0.55,9.1,9.003,8.9744,9.08,9.12
2017-06-16,9.04,9.02,9.08,9.01,258559005.0,0.77,9.084999999999999,9.0155,8.9714,9.04,9.08
2017-06-19,9.03,9.13,9.15,9.02,446000768.0,1.44,9.095,9.0355,8.9698,9.02,9.04
2017-06-20,9.12,9.12,9.16,9.09,286053888.0,0.77,9.103,9.057,8.9682,9.13,9.02
2017-06-21,9.17,9.15,9.18,9.11,454488896.0,0.77,9.105,9.080499999999999,8.9672,9.12,9.13
2017-06-22,9.15,9.25,9.4,9.14,1325210560.0,2.84,9.117,9.1035,8.9686,9.15,9.12
2017-06-23,9.23,9.25,9.27,9.16,538303568.0,1.19,9.126999999999999,9.125499999999999,8.970600000000001,9.25,9.15
2017-06-26,9.26,9.3,9.4,9.26,663762848.0,1.51,9.145999999999999,9.1355,8.974200000000002,9.25,9.25
2017-06-27,9.3,9.36,9.39,9.27,509162016.0,1.29,9.17,9.1485,8.979,9.3,9.25
2017-06-28,9.35,9.43,9.49,9.33,1102438096.0,1.71,9.205000000000002,9.16,8.986,9.36,9.3
2017-06-29,9.43,9.43,9.45,9.37,459810416.0,0.85,9.244,9.172,8.9926,9.43,9.36
2017-06-30,9.4,9.39,9.43,9.31,468003520.0,1.27,9.281,9.183,8.9994,9.43,9.43
2017-07-03,9.4,9.4,9.43,9.34,364465840.0,0.96,9.308,9.2015,9.0092,9.39,9.43
2017-07-04,9.4,9.34,9.41,9.3,456577024.0,1.17,9.330000000000002,9.2165,9.0176,9.4,9.39
2017-07-05,9.29,9.37,9.38,9.27,529294112.0,1.18,9.352,9.2285,9.025599999999999,9.34,9.4
2017-07-06,9.36,9.4,9.41,9.31,691387184.0,1.07,9.367,9.242,9.035,9.37,9.34
2017-07-07,9.37,9.47,9.48,9.34,717084352.0,1.49,9.389,9.258,9.044400000000001,9.4,9.37
2017-07-10,9.45,9.59,9.66,9.44,1303090000.0,2.32,9.418000000000001,9.282,9.0564,9.47,9.4
2017-07-11,9.61,10.25,10.46,9.61,3842010176.0,8.86,9.507000000000001,9.3385,9.081999999999999,9.59,9.47
2017-07-12,10.27,10.34,10.58,10.2,3113681344.0,3.71,9.597999999999999,9.4015,9.109,10.25,9.59
2017-07-13,10.3,10.9,10.9,10.24,3180144560.0,6.38,9.745000000000001,9.494499999999999,9.1482,10.34,10.25
2017-07-14,10.81,10.9,10.94,10.66,1864449200.0,2.57,9.896,9.5885,9.188,10.9,10.34
2017-07-17,10.95,10.81,11.33,10.72,3608692272.0,5.6,10.037,9.6725,9.2294,10.9,10.9
2017-07-18,10.75,11.05,11.14,10.62,2558433984.0,4.81,10.208,9.769,9.2778,10.81,10.9
2017-07-19,10.99,11.09,11.19,10.88,2131336288.0,2.81,10.38,9.866000000000001,9.3282,11.05,10.81
2017-07-20,11.08,10.97,11.22,10.91,1695060976.0,2.8,10.537,9.952000000000002,9.374799999999999,11.09,11.05
2017-07-21,10.83,10.89,10.95,10.69,1625416432.0,2.37,10.679,10.034,9.4192,10.97,11.09
2017-07-24,10.82,10.95,11.06,10.73,1846886672.0,3.03,10.815,10.1165,9.4642,10.89,10.97
2017-07-25,10.98,11.0,11.27,10.95,2172114592.0,2.92,10.889999999999999,10.1985,9.5062,10.95,10.89
2017-07-26,10.92,10.74,11.18,10.66,1846282144.0,4.73,10.930000000000001,10.264,9.5438,11.0,10.95
2017-07-27,10.72,10.59,10.77,10.53,1273888880.0,2.23,10.899000000000001,10.322,9.5788,10.74,11.0
2017-07-28,10.61,10.74,10.81,10.58,877769280.0,2.17,10.883,10.3895,9.6182,10.59,10.74
2017-07-31,10.8,10.67,10.82,10.45,1671814032.0,3.45,10.869000000000002,10.453,9.657,10.74,10.59
2017-08-01,10.64,11.04,11.08,10.6,2222887936.0,4.5,10.867999999999999,10.538,9.704,10.67,10.74
2017-08-02,11.05,11.15,11.34,10.96,2307726688.0,3.44,10.874,10.626999999999999,9.753400000000001,11.04,10.67
2017-08-03,11.14,11.01,11.22,10.97,1090954128.0,2.24,10.878,10.7075,9.7978,11.15,11.04
2017-08-04,11.0,11.17,11.29,10.93,1511389824.0,3.27,10.905999999999999,10.7925,9.845,11.01,11.15
2017-08-07,11.06,11.0,11.17,10.9,946975696.0,2.42,10.911,10.863,9.883000000000001,11.17,11.01
2017-08-08,11.0,11.05,11.11,10.91,758872032.0,1.82,10.916,10.903,9.921999999999999,11.0,11.17
2017-08-09,10.96,10.73,11.02,10.68,1126512112.0,3.08,10.915,10.9225,9.9526,11.05,11.0
2017-08-10,10.7,10.62,10.82,10.54,1026676000.0,2.61,10.918000000000001,10.9085,9.9812,10.73,11.05
2017-08-11,10.48,10.02,10.54,9.99,2501779376.0,5.18,10.846,10.864500000000001,9.998199999999999,10.62,10.73
2017-08-14,10.13,10.22,10.25,10.04,1175479136.0,2.1,10.800999999999998,10.835,10.022,10.02,10.62
2017-08-15,10.24,10.31,10.51,10.21,1116750000.0,2.94,10.728,10.798,10.0474,10.22,10.02
2017-08-16,10.29,10.34,10.37,10.15,778517616.0,2.13,10.647,10.760499999999999,10.0716,10.31,10.22
2017-08-17,10.35,10.42,10.42,10.29,573093952.0,1.26,10.588000000000001,10.733,10.0974,10.34,10.31
2017-08-18,10.36,10.44,10.6,10.29,643188720.0,2.98,10.515,10.7105,10.1232,10.42,10.34
2017-08-21,10.43,10.46,10.52,10.39,417653104.0,1.25,10.461000000000002,10.686,10.1502,10.44,10.42
2017-08-22,10.48,10.65,10.66,10.37,922881872.0,2.77,10.421,10.6685,10.1808,10.46,10.44
2017-08-23,10.63,10.9,10.98,10.59,1430051904.0,3.66,10.438,10.6765,10.2172,10.65,10.46
2017-08-24,10.89,10.93,11.11,10.84,1014933648.0,2.48,10.469,10.6935,10.255,10.9,10.65
2017-08-25,10.94,11.11,11.17,10.9,1068994544.0,2.47,10.578,10.712,10.296800000000001,10.93,10.9
2017-08-28,11.1,11.35,11.54,11.1,1828380080.0,3.96,10.691,10.746,10.3412,11.11,10.93
2017-08-29,11.3,11.67,11.74,11.28,1569230032.0,4.05,10.827000000000002,10.7775,10.3922,11.35,11.11
2017-08-30,11.68,11.43,11.7,11.35,1264128144.0,3.0,10.936,10.791500000000001,10.4378,11.67,11.35
2017-08-31,11.39,11.28,11.44,11.15,1297730592.0,2.54,11.022,10.805,10.478399999999999,11.43,11.67
2017-09-01,11.28,11.21,11.39,11.15,1080996320.0,2.13,11.099,10.807,10.5176,11.28,11.43
2017-09-04,11.18,11.72,11.72,11.17,1551875040.0,4.91,11.225,10.843,10.566,11.21,11.28
2017-09-05,11.68,11.64,11.94,11.6,1513759536.0,2.9,11.324000000000002,10.872499999999999,10.611600000000001,11.72,11.21
2017-09-06,11.59,11.7,11.88,11.48,925519040.0,3.44,11.404,10.921000000000001,10.656999999999998,11.64,11.72
2017-09-07,11.65,11.44,11.75,11.39,711036416.0,3.08,11.455,10.962,10.6972,11.7,11.64
2017-09-08,11.46,11.49,11.64,11.38,553644528.0,2.27,11.493,11.035499999999999,10.7392,11.44,11.7
2017-09-11,11.54,11.38,11.69,11.3,801825008.0,3.39,11.495999999999999,11.0935,10.7788,11.49,11.44
2017-09-12,11.38,11.54,11.54,11.27,962032176.0,2.37,11.483,11.155,10.822799999999999,11.38,11.49
2017-09-13,11.49,11.43,11.54,11.34,765028192.0,1.73,11.483,11.2095,10.864,11.54,11.38
2017-09-14,11.43,11.32,11.59,11.24,1005775584.0,3.06,11.487,11.2545,10.9024,11.43,11.54
2017-09-15,11.29,11.29,11.32,11.15,726061104.0,1.5,11.495000000000001,11.297,10.9388,11.32,11.43
2017-09-18,11.25,11.25,11.32,11.2,684223024.0,1.06,11.447999999999999,11.3365,10.972000000000001,11.29,11.32
2017-09-19,11.25,11.13,11.34,11.08,853816000.0,2.31,11.397,11.360499999999998,10.989600000000001,11.25,11.29
2017-09-20,11.14,11.29,11.37,11.05,884640960.0,2.88,11.356,11.38,11.008600000000001,11.13,11.25
2017-09-21,11.26,11.46,11.51,11.2,788605296.0,2.75,11.358,11.4065,11.0198,11.29,11.13
2017-09-22,11.43,11.44,11.52,11.31,677622496.0,1.83,11.353,11.422999999999998,11.0306,11.46,11.29
2017-09-25,11.44,11.29,11.45,11.18,602270304.0,2.36,11.344,11.42,11.0402,11.44,11.46
2017-09-26,11.26,11.05,11.3,10.96,1074228192.0,3.01,11.294999999999998,11.389,11.0402,11.29,11.44
2017-09-27,11.01,10.93,11.08,10.9,798377280.0,1.63,11.245000000000001,11.364,11.037,11.05,11.29
